id,BLOOMZ_pred_polish,BLOOMZ_DYNABENCH_pred_polish,LLAMA_pred_polish,LLAMA_DYNABENCH_pred_polish,BLOOMZ_FINETUNED_pred_polish
716,1,1,0,0,1
717,1,1,0,0,1
732,1,1,0,0,1
734,1,1,0,0,1
740,1,1,0,0,1
743,1,1,0,0,1
751,1,1,0,0,1
756,1,1,0,0,1
770,1,1,0,0,1
784,1,1,0,0,1
786,1,1,0,0,1
790,1,1,0,0,1
792,1,1,0,0,1
797,1,1,0,0,1
802,1,1,0,0,1
808,1,1,0,0,1
814,1,1,0,0,1
816,1,1,0,0,1
826,1,1,0,0,1
827,1,1,0,0,1
829,1,1,0,0,1
834,1,1,0,0,1
847,1,1,0,0,1
848,1,1,0,0,1
852,1,1,0,0,1
868,1,1,0,0,1
870,1,1,0,0,1
874,1,1,0,0,1
882,1,1,0,0,1
886,1,1,0,0,1
894,1,1,0,0,1
895,1,1,0,0,1
896,1,1,0,0,1
903,1,1,0,0,1
904,1,1,0,0,1
905,1,1,0,0,1
919,1,1,0,0,1
928,1,1,0,0,1
932,1,1,0,0,1
941,1,1,0,0,1
946,1,1,0,0,1
951,1,1,0,0,1
953,1,1,0,0,1
957,1,1,0,0,1
958,1,1,0,0,1
962,1,1,0,0,0
977,1,1,0,0,1
988,1,1,0,0,1
996,1,1,0,0,1
998,1,1,0,0,1
1010,1,1,0,0,0
1013,1,1,0,0,1
1026,1,1,0,0,0
1032,1,1,0,0,1
1033,1,1,0,0,1
1034,1,1,0,0,0
1036,1,1,0,0,1
1042,1,1,0,0,1
1052,1,1,0,0,0
1057,1,1,0,0,0
1066,1,1,0,0,0
1068,1,1,0,0,0
1069,1,1,0,0,0
1070,1,0,0,0,0
1075,1,1,0,0,1
1079,1,1,0,0,1
1080,0,0,0,0,0
1081,1,1,0,0,1
1084,1,1,0,0,0
1087,1,1,0,0,1
1089,1,1,0,0,0
1099,1,1,0,0,0
1100,1,1,0,0,1
1104,1,1,0,0,0
1112,1,1,0,0,0
1113,1,1,0,0,0
1121,1,1,0,0,0
1123,1,1,0,0,0
1140,1,1,0,0,0
1142,1,1,0,0,0
1158,0,0,0,0,0
1171,1,1,0,0,0
1177,1,1,0,0,0
1195,1,1,0,0,0
1201,1,1,0,0,0
1202,1,1,0,0,0
1207,1,1,0,0,1
1211,0,0,0,0,0
1212,1,1,0,0,1
1213,1,1,0,0,0
1214,1,1,0,0,1
1218,1,1,0,0,1
1221,1,1,0,0,1
1234,1,1,0,0,1
1238,1,0,0,0,0
1247,1,1,0,0,1
1253,1,1,0,0,1
1257,1,1,0,0,0
1263,1,1,0,0,0
1268,1,1,0,0,1
1269,1,1,0,0,1
1284,1,1,0,0,1
1288,1,1,0,0,1
1295,1,1,0,0,1
1305,1,1,0,0,0
1309,1,1,0,0,1
1312,1,1,0,0,0
1317,1,1,0,0,1
1326,1,1,0,0,0
1329,1,1,0,0,0
1335,1,1,0,0,1
1338,1,1,0,0,1
1339,1,1,0,0,0
1341,1,1,0,0,1
1347,1,1,0,0,1
1349,1,1,0,0,1
1354,1,1,0,0,0
1359,1,1,0,0,1
1370,1,1,0,0,0
1385,1,1,0,0,1
1397,1,0,0,0,0
1408,1,1,0,0,1
1420,1,1,0,0,1
1423,1,1,0,0,0
1425,1,1,0,0,1
1427,1,1,0,0,1
1435,1,1,0,0,1
1442,1,1,0,0,0
1447,1,1,0,0,1
1448,1,1,0,0,0
1451,1,1,0,0,1
1454,1,1,0,0,0
1465,1,1,0,0,0
1468,1,1,0,0,1
1476,1,1,0,0,0
1481,1,1,0,0,0
1482,1,1,0,0,0
1485,1,1,0,0,0
1493,1,1,0,0,1
1526,1,1,0,0,1
1528,1,1,0,0,1
1534,1,1,0,0,1
1535,1,1,0,0,0
1536,1,1,0,0,0
1537,1,1,0,0,1
1546,1,1,0,0,0
1547,1,1,0,0,0
1551,1,1,0,0,0
1570,1,1,0,0,1
1571,1,1,0,0,1
1572,1,1,0,0,0
1582,1,1,0,0,0
1584,1,1,0,0,0
1593,1,1,0,0,1
1596,1,1,0,0,0
1597,1,1,0,0,0
1602,1,1,0,0,0
1624,1,1,0,0,0
1628,1,1,0,0,0
1631,1,1,0,0,0
1633,1,1,0,0,0
1637,1,1,0,0,0
1639,1,1,0,0,1
1640,1,1,0,0,0
1642,1,1,0,0,1
1643,1,1,0,0,1
1644,1,1,0,0,1
1648,1,1,0,0,0
1652,0,0,0,0,0
1655,1,1,0,0,0
1661,1,1,0,0,0
1662,1,1,0,0,0
1663,1,1,0,0,1
1665,1,1,0,0,1
1672,1,1,0,0,1
1685,1,1,0,0,1
1687,1,1,0,0,0
1688,1,1,0,0,0
1690,1,1,0,0,0
1695,1,1,0,0,1
1712,1,1,0,0,1
1713,1,1,0,0,0
1714,1,1,0,0,0
1718,1,1,0,0,0
1719,1,1,0,0,1
1720,1,1,0,0,1
1729,1,1,0,0,0
1735,1,1,0,0,0
1737,1,0,0,0,1
1740,1,1,0,0,1
1747,1,1,0,0,0
1749,1,1,0,0,0
1753,1,1,0,0,0
1763,1,1,0,0,1
1775,1,1,0,0,1
1782,1,1,0,0,1
1785,1,1,0,0,1
1786,1,1,0,0,0
1794,1,1,0,0,0
1795,1,1,0,0,0
