ID,english,label,pred_english,conf_english
33,"On one hand, fuck them in the ass, because they’re a legal mafia, on the other, fuck the Russkis and their coal in the ass.",1,1,"0.0735333114862442,0.9264666438102722"
34,"{USERNAME}: Nowadays, a “wh0re” is more feminine and emotional than those animals we pass on the street or swipe on Tinder.",1,0,"0.613527774810791,0.3864721953868866"
35,{USERNAME}: Where’s Bambo and BLM?,1,0,"0.926143229007721,0.07385674118995667"
36,"{USERNAME}: Who in Poland is bothered by “nigger” or “Negro,” and who has an interest in that?",1,0,"0.9375652074813843,0.06243477761745453"
37,"{USERNAME}: But Territorial Army is very useful, whereas the rainbow deviation is only good for hospitals.",1,0,"0.9021070599555969,0.09789296239614487"
38,{USERNAME}: Restore a racially pure Europe.,1,0,"0.6258854866027832,0.3741145133972168"
39,"At this rate, they’ll never get rid of that plague. Nigeria (like probably every African country) has a very high birth rate.",1,0,"0.9328556060791016,0.06714434176683426"
40,Are Belgium and Canada African countries? Why are there black monkeys running in their teams? #match,1,1,"0.36923062801361084,0.6307693719863892"
41,"{USERNAME} Where the fuck did this LGBT shit come from out of nowhere, fucking hell.",1,1,"0.4067935049533844,0.593206524848938"
42,What’s up with niggers sagging their pants?,1,1,"0.4844619631767273,0.5155380368232727"
43,"{USERNAME}: You can’t read this because you’re intellectually limited. So I’ll repeat, don’t question, obediently listen to what Onet tells you, and fuck off to the front to shoot Russkis.",1,1,"0.3418823480606079,0.6581175923347473"
44,"{USERNAME}: Can someone tell me why it’s like this, these kinds of news pop up, and then the next day when UAF reports RUS losses, it’s not there? ( ͡° ͜ʖ ͡°) {USERNAME}: Russian trash, maybe it’s reported with a delay?",1,0,"0.7212060689926147,0.27879393100738525"
45,"{USERNAME}: He’s fighting for freedom, but only his own to do whatever he wants at the expense of others’ freedom. That’s how LGBT terrorists operate.",1,1,"0.018565136939287186,0.9814348220825195"
46,"{USERNAME}: You’re so butthurt about this sports fans’ march that you’re creating delusions and projections in your head about attacks on Belarusians XDDD. So far, it’s the animals under the rainbow flag attacking everyone, you confabulating liar.",1,0,"0.7889800667762756,0.21101999282836914"
47,"{USERNAME}: Because Hitler was right, but he failed.",1,1,"0.4079402983188629,0.5920597314834595"
48,"What’s so outrageous about it? In classes with rainbows, they’d get penises. Answer for yourselves who’s more fucked up.",1,0,"0.971529483795166,0.028470508754253387"
49,Want to catch HIV and a fungus on the side? Go ahead and rape those dirty pigs. They all just need to be fucked up for what they’re doing in Ukraine and what they did to Poland for so many years and during WWII.,1,1,"0.1488541215658188,0.8511459231376648"
50,"A Belarusian Yemeni dressed in Armani rags, smiling, walking, and dying of dehydration in the forest by the Polish border. Did I summarize it well?",1,0,"0.9943718910217285,0.005628089886158705"
51,"Iran probably picked the right moment. Some mistake Persians for some prairie goat-fuckers, but despite being warped by Islam, they’re pretty reasonable bastards.",1,1,"0.03448761627078056,0.9655123949050903"
52,"{USERNAME}: I have a request for the pink ones: if Enrique or some other Mokabe fucked you, please get the fuck off Tinder because I’m disgusted by you, and I might catch HIV or some shit. Thanks for your attention.",1,1,"0.057967785745859146,0.9420321583747864"
53,"{USERNAME}: I’ve only got one thing to say: FUCK ALL RUSSIANS, NO TO RUSSIAN SAVAGES!",1,0,"0.6101013422012329,0.3898986279964447"
54,{USERNAME}: Hitler just wanted to free the Jews from the pain and suffering of this world (・へ・) A true Semite.,1,1,"0.3803701400756836,0.6196298599243164"
55,{USERNAME}: Deranged Russian trash.,1,1,"0.21266354620456696,0.7873364686965942"
56,"{USERNAME}: They should also deal with newcomers from Africa and the Middle East. A Pole or Ukrainian assimilates with the culture of a given country and won’t act like a prick, but this cattle, even in the fourth generation, will have more goat-fucker in them than the locals.",1,1,"0.06318553537130356,0.9368144869804382"
57,"The Germans who turned a the camp into a sausage museum, so maybe we should make, I don’t know, a fucking Poland... Because lately, there’s less and less of it in our country. If it’s not rainbow trans five-year-olds with the approval of “experts,” then suddenly the word “Negro” is offensive, Jews are stealing heirless tenements or our history, fuck Auschwitz, now they’re saying that when they settled here a thousand years ago, it was just bushes and weeds (in case you had doubts about who founded the Polish state and when). On Sundays, families (single mom with a new dick, daddy as an ATM for alimony) go for kebabs to a raghead who jerks off into the garlic sauce daily. Bitches say if a guy has no money, you should dump him in a country where most don’t earn above €350 a month. They’ve got nothing to offer except a shit sponge in their heads and a worn-out pussy from riding 40 guys or a few Mokabes from the third world and some raghead if they lived abroad... Pure bliss. They tell me which party is better... I say the one that’s not in power is better because they can’t destroy or steal as much. Keep it up, my niggers.",1,1,"0.00752707663923502,0.9924728870391846"
58,"{USERNAME}: The Catholic has already flown to the moon, plow all these shitty religions to hell, fucking morons believing in some nonsense…",1,1,"0.4387849271297455,0.5612151026725769"
59,"I’m a very tolerant person. In my life, I’ve had the chance to get to know some gays, lesbians, ragheads, Arabs, curry-eaters, and some people from the US and the West. Compared to a typical Polack, I’d have to insult each of them heavily. Completely different mentality and level of culture. We didn’t give a fuck where we’re from, what we believe in, or what skin color we have. We respected each other as people. Knowing English communicatively, no one laughs at your accent or momentary confusion. I learned a lot from talking to them. Polacks can nitpick and mock, acting like they’re language masters, fucking hell. I hate LGBT, cucks, cum-lovers, and fucking radicals. Those aren’t normal behaviors, and losing rational thinking in such extreme cases should be treated. There’s a big difference between some LGBT freak and a normal gay or lesbian. They don’t admit it. Cucks and cum-lovers are an abomination, and it needs to be stigmatized or even treated. Give them shock therapy and make them watch their woman fuck a Mokabe or Chad live. You can get along with anyone anywhere if you’re a normal, cool dude. This bullshit about Muslims being so awful makes me laugh my ass off. My friends confirm it. The Muslims I’ve met are some of the most honest and kind people I’ve had the pleasure of knowing. I don’t mix radicals with that religion, just like I don’t mix Catholics here. Thoughts after a blunt xD #losers",1,1,"0.05437023565173149,0.9456297755241394"
60,Electrocute women... Bag over the head and off to a dry forest where they fucking belong... #incels,1,1,"0.35974183678627014,0.6402581334114075"
61,"{USERNAME}: Zero mercy for Polish kikes who let Ukrainian intelligence shit in their faces with whatever, and Polish kikes eat it up, yum, it’s the truest truth, Ukrainians would never lie, after all, we’re nice, good, and helping them. Then they puke their complex-ridden Polack frustrations on Russkis online, but when push comes to shove and the Polish lord says mask on, confess at the census, and taxes to the max because we need to support Ukraine, they shut up because all their steam went online on an SBU-sponsored Russian caricature. If you’re so eager to annihilate Russkis, go to your people beyond the Zbruch, they need brainless meat there.",1,1,"0.03762882575392723,0.9623711109161377"
62,I feel sorry for every Pole who ended up in a camp instead of a Jew. Every Jew in a camp meant one more Pole saved.,1,0,"0.8735045194625854,0.12649545073509216"
63,{USERNAME}: Aren’t those goat-fuckers in turbans?,1,1,"0.46265116333961487,0.5373488068580627"
64,{USERNAME}: Maybe some fake story to later do ethnic cleansing on Russkis.,1,0,"0.8059523105621338,0.1940476894378662"
65,"Can someone tell me why people write like fucking middle schoolers? > ""p0lish w0men are wh0res"" Sluts are whores. Polish women are whores. Is it that hard? #losers",1,0,"0.9454776048660278,0.05452239513397217"
66,"{USERNAME}: The rainbow mutants are swarming, get lost, or I’ll sic a stick on you.",1,0,"0.6878673434257507,0.3121326267719269"
67,"You have to remember that LGBTQPedo+ isn’t about making people understand, but about fighting an enemy. And if there’s no enemy, you make one by provoking and insulting. Once you’ve made an enemy, you can milk cash from allies and fight, fight, fight... Homosexuals have always existed, exist now, and will exist. People know that. It’s not homosexuals that are hated, but those caricatures from pride parades, offending all sense of good taste, breaking every taboo, and targeting their message at traditional values most people were raised with.",1,1,"0.48454785346984863,0.5154521465301514"
68,[surname] is a racist and fucking xenophobe. He hates whites just because his ancestors once had white owners.,1,0,"0.8632204532623291,0.1367795616388321"
69,"{USERNAME}: Islam is imported, aggressive shit, while Catholicism is our tradition and history.",1,0,"0.8356981873512268,0.164301797747612"
70,I recommend asking those Russian whores about Ukraine. They shut their mouths right away. Wonder why ( ͡° ͜ʖ ͡°) #csgo,1,1,"0.27003994584083557,0.729960024356842"
71,I hope an entire Azovstal regiment is waiting for that Russian whore in the afterlife xD #ukraine,1,1,"0.276857852935791,0.723142147064209"
72,"Water is highly harmful to Gypsies and definitely not their natural environment. When I was a novice breeder, I once forgot to cover my Roma cages with a tarp overnight, and it rained. Luckily, I heard their pained howls and managed to get there in time. Only two died, but Wasyl, Aladdin, and Ferenc Salvador had to be rubbed with fresh feces by their kin every hour for two weeks to rebuild the natural protective layer Gypsies have on their bodies. I don’t need to say how disastrous this was for the herd’s work efficiency—I had to use the whip more often to remind them of their duties. So I quickly got rid of the whole herd by mixing ground soap into their feed. An old, reliable, and humane method—they didn’t even have time to scream “EAT A DICK” before dissolving from the inside and partially seeping into the ground. The soil is now much more fertile there, like after the best fertilizers—that’s one of the biggest advantages of owning a Gypsy. Many people breed them just for this purpose, seeing no other use for these animals. I’m currently breeding two Białystok natives, quite amusing creatures, but terribly dumb and resistant to training. Speech is especially problematic—they just can’t learn proper case declension. #copypasta #lol #coolstory",1,1,"0.15047766268253326,0.8495222926139832"
73,"I’m glad for white supremacy, I hope African Americans who commit the most crimes and the leftist LGBT crowd don’t defeat them. Long live pure white America.",1,1,"0.2721956968307495,0.7278042435646057"
74,"{USERNAME}: I know it’s a national trait of yours, like when our plane with 100 people crashed, I remember how the whores celebrated. It was a mistake to liberate you. We should’ve let Hitler burn you in the ovens.",1,1,"0.0812557116150856,0.9187443256378174"
75,"{USERNAME}: I’d like to inform you that I’m a homophobe and racist, I don’t give a shit what two grown men do in private, but if some fags tried to act like that around my kids, I’d do what that guy did. They have no right to corrupt the young generation; it’s not natural behavior or deserving of public or media promotion.",1,1,"0.036705613136291504,0.9632943272590637"
76,"{USERNAME}: What a piece of trash you have to be to celebrate attacks on Polish women, worse shit than Islamists.",1,0,"0.5544661283493042,0.4455338418483734"
77,Looks like Norway needs another Breivik.,1,0,"0.999176561832428,0.000823392765596509"
78,"Good riddance, get lost with that rainbow leftist faggotry.",1,1,"0.0037607108242809772,0.9962393045425415"
79,"{USERNAME}: Oh no, the kikes, fags, and Masons want to destroy us. Honk honk.",1,1,"0.0037830378860235214,0.9962169528007507"
80,{USERNAME}: Ukrainians are animals.,1,0,"0.8446078300476074,0.15539216995239258"
81,,1,0,"0.9993033409118652,0.0006966438377276063"
82,"These fucking Polish cunts have it good, fucking sheltered under their dome. Not long ago, Ukrainians were ripping the guts out of hussars, and now a hussar is going to build streets for Ukrainians... Putin, get the fuck in there with bombs and missiles because these Polish cockroach-cunts don't deserve anything but bombing.",1,1,"0.016042426228523254,0.9839575290679932"
83,...I came up with a new sub-orientation for LGBT—ACAB fluid xDDDDDDDD,1,0,"0.9977154731750488,0.0022845338098704815"
84,{USERNAME} you look like an expert so I have a question for us. Is this some tranny or faggot imitating women? You don't have to answer. I'm not interested in such nonsense. I'm only here because I thought something serious was happening.,1,1,"0.03873864933848381,0.9612613916397095"
85,Adolf and the Jews would be proud that they are keeping up with the times of segregation.,1,0,"0.6582585573196411,0.3417414426803589"
86,"Practically every day, an equal or greater number of white Christians die in Syria, Asia, or other African countries - reactions? Who cares. They kill ragheads in New Zealand because some guy mentally couldn’t handle what he saw, how Muslims kill whites - oh no :(( boo hoo, Muhammad died (╯︵╰,) You’re all worthless cunts there, great warriors of equality and all that. #attack",1,1,"0.32547125220298767,0.6745287179946899"
87,Pros of the episode: Old cuck sucker finally died Niggers are dying Cons: fucking whores and bastards still in the game Shitty effects #rodsmoka #houseofthedragon,1,0,"0.9249609708786011,0.07503903657197952"
88,"{USERNAME}: The panic about ragheads in the West is actually useful for fueling nationalism and defeating the fucked-up cosmopolitan elite, but it’s exaggerated. Ragheads can’t have an infinite number of brats, and while the first generation pumps out a shitload of kids, those unemployed ragheads in the Paris suburbs don’t have the means to support a family and end up wasting their lives. If I’m not mistaken, during the wave of Turkish immigration to Germany in the 90s, they had fertility rates around 3.2, and now it’s about 1.8, so just one generation was enough for them to start dying out.",1,1,"0.08459705114364624,0.9154029488563538"
89,A typical #Polishwoman is just breeding meat with no ambitions beyond insemination and reproduction. This is evidenced by the ongoing complaints of the still-unfertilized user {USERNAME} (see below). I think in a few weeks she’ll latch onto a new branch that guarantees quicker fertilization. That’s the nature of a woman’s reptilian brain. #losers #pinkstripes #pinkstripelogic #relationships #moms,1,1,"0.02224661409854889,0.9777534008026123"
90,And that’s why black people should have separate train cars. ! Like in the old days ( ͡° ͜ʖ ͡°),1,1,"0.19732342660427094,0.8026765584945679"
91,"Fucking Asian subhumans. Who the hell are the Germans doing business with, where’s their dignity? Hitler knew how to deal with them.",1,1,"0.2949589192867279,0.7050410509109497"
92,{USERNAME}: Please don’t insult homosexuals. Those are just regular fags.,1,1,"0.0033887492027133703,0.9966111779212952"
93,How the fuck did those bastards bomb Lviv then!,1,0,"0.9366732835769653,0.06332673877477646"
94,"{USERNAME}: Gas them. The Germans knew how to handle that kind. If someone loses their health due to an accident, fine - but because of this shit - I don’t feel sorry.",1,0,"0.8027541041374207,0.19724586606025696"
95,"I see a flood of Russian shills!!! How dare you Polish onion-eating morons insult the great, brotherly Ukrainian nation! Slava Ukrainie, our father Bandera!! (Waiting for a ban from [pseudonym]). When I wrote about Ukrainians in February/March, the SJW Poles banned me!! But you can insult Poles, I’m probably even climbing the ranks!!!",1,0,"0.6182475686073303,0.3817524015903473"
96,"{USERNAME}: The difference is huge, I’d rather have two million Arabs than some stinking Ukrainians shitting themselves, beating Poles, and flaunting their Bandera flags, not to mention paying taxes. Arabs are cool people and don’t project their nationalistic bullshit onto us like Ukrainians do.",1,1,"0.08978645503520966,0.9102135300636292"
97,"If this post gets 200 upvotes, I’ll share {USERNAME}’s mobile number so you can personally ask him if you can criticize Israel on his platform and what’s better - saying you fuck your dad and support Palestine or that Israel is committing war crimes. If this post gets 2000 upvotes, I’ll share {USERNAME}’s mobile number - why? I don’t know, but it’ll sure be funny. WARNING! The above numbers are publicly available, they shared them themselves! #wykop #israel #leftardcringe #4conservatives",1,0,"0.8271611928939819,0.17283880710601807"
98,We need to start treating the sick. I saw something yesterday about a cure for #faggotry and other deviant cases being developed in Saudi Arabia. So maybe something will finally move forward on this.,1,0,"0.8270321488380432,0.172967791557312"
99,"> They went to Syria, now they want to come back. What will Belgium do with ISIS fighters? No idea... stuff them with welfare lead... ! ...sorry, benefits? ¯\\_( ͡º ͜ʖ͡º)\_/¯",1,0,"0.8805364370346069,0.11946363747119904"
100,"Kill the gays, leave the homos alone and treat them equally.",1,1,"0.005500158295035362,0.9944998025894165"
101,Israel needs to be eliminated for the sake of humanity.,1,0,"0.5556831955909729,0.4443168044090271"
102,Gypsy trash. The painter was stupid for not taking the chance to wipe them off the face of the earth. ( ͡° ʖ̯ ͡°),1,1,"0.044701121747493744,0.9552988409996033"
103,"{USERNAME}: German intellectuals ... Bwahahaha, Yeti and Bigfoot are protesting too. In my whole life, I’ve never seen a German intellectual. They have educated and intelligent people there. But they’re still dumb cunts not deserving of such a prestigious title. At best, you can call them: Intelligent Nazis.",1,1,"0.09918838739395142,0.9008116126060486"
104,"{USERNAME}: LGBT cunts are only interested in showing off their genitals, screwing, and taking grants for being “persecuted” ( ͡° ͜ʖ ͡°). Know why Jaki didn’t win the election? Because he had a kid with Down syndrome, and modern Varsovians thought it was embarrassing.",1,1,"0.257106214761734,0.7428937554359436"
105,"{USERNAME}: e.g., fuck the Jews and fags.",1,1,"0.4794636070728302,0.5205364227294922"
106,{USERNAME}: You idiot xD. It’s obvious this is so Catholic nutjobs can spew unscientific nonsense and avoid consequences by hiding behind religion. I’m disgusted by pests like you.,1,1,"0.1501598358154297,0.8498401641845703"
107,There’s no such nation as Ukraine XD,1,0,"0.897497832775116,0.10250215232372284"
108,"Russian whores sign all those pacts, treaties, and obligations just to protect themselves and make a fuss that they’re the victims. They’ve never kept their own commitments in any conflict.",1,1,"0.12421693652868271,0.8757830858230591"
109,"{USERNAME}: I’m a supporter of the opposition, and I’d shoot Muslims too.",1,1,"0.19856742024421692,0.8014326095581055"
110,"{USERNAME}: Because right-wingers don’t rape women, they’re too busy f..king fags. XD",1,1,"0.12536048889160156,0.8746395111083984"
111,"{USERNAME} but we’re not just different from blacks or yellows in appearance. Some are smarter than us, others dumber. I won’t write about scientific or general development achievements because some idiot will come along and say it’s because whites oppressed them for a million years and still do, and that we're assholes XDDD",1,0,"0.9389910697937012,0.0610089935362339"
112,"{USERNAME}: Logically, they should ban further LGBTP+ marches, and there shouldn’t be approval for more. And the slogans at LGBTP+ parades are probably fascist and heterophobic again.",1,0,"0.9224754571914673,0.07752450555562973"
113,"{USERNAME}: Same shit — Islam should be outlawed, and all countries where it's the main religion should be bombed with nuclear weapons. And whatever escapes should be shot down so it doesn't pose a threat after it ""culturally enriches"" LGBTQWERTY. Probably the best solution for those two plagues that have disrupted the order of White Civilization around the world.",1,1,"0.07720176875591278,0.9227982759475708"
114,Fucking Russian savages (╯°□°）╯︵ ┻━┻ We should hunt these animals!,1,0,"0.6261987686157227,0.37380123138427734"
115,"The paradox of the 21st century: fags can’t reproduce, yet there are more and more of them #relationships",1,1,"0.2728821933269501,0.7271177768707275"
116,"{USERNAME}: You need to be reported for promoting pathology and idiocy with that rainbow. That rainbow shit should carry harsher penalties than Nazism, pedophilia, etc. The rainbow spreads hatred and stupidity. There should be the death penalty for LGBT people, a good leftist is a dead leftist.",1,1,"0.11333731561899185,0.8866627216339111"
117,I wish you the annihilation of that fucking Russian cockroach army.,1,1,"0.11969751119613647,0.8803024291992188"
118,Fucking Jews.,1,1,"0.13201555609703064,0.8679844737052917"
119,"{USERNAME}: The deranged ones are the morons spamming this shit for who-knows-how-many days, like retarded Aspies.",1,1,"0.018068870529532433,0.9819310903549194"
120,"{USERNAME}: Because they’re Russian trash, i.e., shills.",1,1,"0.056715574115514755,0.9432844519615173"
121,"{USERNAME}: Ugh, it’s been almost three years since the CIA niggers got him ( ͡° ʖ̯ ͡°)",1,1,"0.1339772790670395,0.8660227656364441"
122,When will they officially add “P” to LGBTP+?,1,0,"0.9984608888626099,0.0015391140477731824"
123,"Is [pseudonym] a fucking kike or a Ukrainian, Banderite whore? Please answer :)",1,0,"0.842473566532135,0.15752646327018738"
124,"{USERNAME}: Not soldiers of the Russian Armed Forces, just brainless shit for disposal.",1,0,"0.9219523072242737,0.0780477300286293"
125,"Bravo, Ukrainian brothers! Beat those Russian whores! Glory to the heroes!",1,1,"0.015515297651290894,0.9844846725463867"
126,"{USERNAME}: Let me explain. Look in the mirror, and you’ll see a Catholic nutjob.",1,1,"0.3937360644340515,0.6062639951705933"
127,"{USERNAME} It’s been known for ages that a woman is an empty vessel you pour into. Some are cum dumpsters, others for opinions and interests. Have you ever seen a chick interested in cars, sports fandom, or anything other than typical chick stuff (i.e., having any interests)? Well, they usually inherited it from an ex-boyfriend. I know a chick who’s a Honda fan. But before that, she drove a Cinquecento, then met a Honda Chad who fucked her in the ass for a few years and took her to car meets as an eye candy.",1,1,"0.4069068133831024,0.5930931568145752"
128,"Historically, put the apes in a container and ship them to the land of their ancestors if they don’t like it in the “white” world.",1,0,"0.6314346194267273,0.3685654103755951"
129,"PUTIN, YOU FUCKING BULB, STOP PERSECUTING UKRAINE, YOU KREMLIN FAG, FUCK YOU IN THE ASS #ukraine",1,0,"0.6909420490264893,0.30905795097351074"
130,"Now we know why those darkies are at the border, to hinder aid and discourage volunteers from helping Ukrainians. Just spit in the face of those leftist shills for destabilizing Poland.",1,1,"0.16128592193126678,0.8387140035629272"
131,It’s a terrible tragedy that so many survived the Holocaust. And now we’re dealing with the consequences.,1,0,"0.9205286502838135,0.07947137951850891"
132,"Whoever didn’t do it and how many graves it was, they’re just Jewish graves... Big deal.",1,1,"0.40793946385383606,0.5920605063438416"
133,Banderite fags will now get married. Just a matter of time before it spreads here ( ಠ_ಠ),1,0,"0.5432500839233398,0.45674988627433777"
134,"Typical fags, they think dressing in bright colors means bike lanes don’t apply to them.",1,1,"0.050775196403265,0.9492247700691223"
135,"No mercy for those Russian weeds, rip them all out.",1,1,"0.025302859023213387,0.9746971130371094"
136,"{USERNAME}: The problem is the parents’ money ran out, and this couch-potato left suddenly found itself up shit creek. With no more mommy’s cash, the free food’s gone too, and they lack the brains to earn it themselves. Black and white parasites, snowflakes, losers, and frustrated so-called “useless people” whose only skill is whining that “I deserve it.” Shooting such cattle isn’t just fun, it’s a duty!",1,1,"0.49125346541404724,0.5087465643882751"
137,"{USERNAME}: It’s obvious you’re not thinking. Did he teleport to Ukraine or what? Do you really think they’ve never seen asphalt before? Man, do you believe in the Smurfs too? I know Russia is a backward shithole, but don’t overdo it with the propaganda. Besides, how would that idiot journalist even know — did he interrogate those Russkies? Or did he pull that info out of his ass so that Poles who believe the crap written in 'Fakt' could feel good thinking there are dumber people in the world than them?",1,1,"0.3177865743637085,0.6822134256362915"
138,Even Hitler knew what the chosen ones were for.,1,0,"0.6480903625488281,0.35190969705581665"
139,"> Fucking whores. Every day I see news about the killed, the raped. I’m at a loss for words. It hasn’t happened to me or my loved ones, but it hurts a lot. It’s 2022, and this is happening at our border. Animals hunt and kill for food, these whores do it for pleasure. I just hope a grenade hits them, and they die in agony for days. {USERNAME}: If the mods deleted the original post.",1,1,"0.1991463154554367,0.8008537292480469"
140,"I’ve had it once from a distance and twice up close. Sorry, but women are whores. ( ͡° ʖ̯ ͡°)",1,1,"0.017316818237304688,0.9826831817626953"
141,"Death penalty is best, and for the rest of the immigrants from his country, shoot them at the border.",1,1,"0.018389863893389702,0.9816101789474487"
142,"Fuck the Jews, fuck them in the face, let the whores screw themselves! (Sing to the tune of “Kanikuły” xD)",1,1,"0.012964356690645218,0.9870356917381287"
143,Russian trash.,1,1,"0.06133111193776131,0.9386689066886902"
144,{USERNAME}: Niggers don’t think.,1,1,"0.13454021513462067,0.8654597401618958"
145,{USERNAME}: Homos rape kids.,1,1,"0.42267483472824097,0.5773251056671143"
146,{USERNAME}: Fags are like that.,1,1,"0.0867123156785965,0.9132876992225647"
147,Why the fuck did someone invent a cotton-picking combine? Wasn’t it fine before?,1,0,"0.9941173791885376,0.005882568657398224"
148,"> Netflix {USERNAME}: Typical, monkey in a lead role ( ͡° ͜ʖ ͡°)",1,0,"0.9982410669326782,0.0017589143244549632"
149,"Fucking hell, what disgusting apes... fuckin niBBers.",1,1,"0.0005883420817553997,0.9994117021560669"
150,Fuck that painted fag... ga... queer... #ukraine #russia #war #history,1,0,"0.8946699500083923,0.10533010214567184"
151,"A Jew-free zone unfortunately has no chance of existing, and it could’ve been so beautiful.",1,1,"0.07770802080631256,0.9222919940948486"
152,{USERNAME}: Fuck black people.,1,0,"0.7022625803947449,0.29773738980293274"
