id,BLOOM_pred_english,BLOOM_DYNABENCH_pred_english,LLAMA_pred_english,LLAMA_DYNABENCH_pred_english,ROBERTA_pred_english,BLOOMZ_FINETUNED_pred_english
718,0.0,0.0,0.0,0.0,1,1
723,0.0,0.0,0.0,0.0,0,1
723,0.0,0.0,0.0,0.0,0,1
740,0.0,0.0,0.0,0.0,0,1
752,0.0,0.0,0.0,0.0,1,1
752,0.0,0.0,0.0,0.0,1,0
755,0.0,0.0,0.0,0.0,0,0
755,0.0,0.0,0.0,0.0,0,0
782,0.0,0.0,0.0,0.0,1,1
808,0.0,0.0,0.0,0.0,0,1
808,0.0,0.0,0.0,0.0,0,1
817,0.0,0.0,0.0,0.0,1,1
819,0.0,0.0,0.0,0.0,0,1
825,0.0,0.0,0.0,0.0,1,1
841,0.0,0.0,0.0,0.0,0,1
841,0.0,0.0,0.0,0.0,0,1
874,0.0,0.0,0.0,0.0,0,0
874,0.0,0.0,0.0,0.0,0,0
877,0.0,0.0,0.0,0.0,1,0
901,0.0,0.0,0.0,0.0,1,0
906,0.0,0.0,0.0,0.0,0,0
906,0.0,0.0,0.0,0.0,0,0
916,0.0,0.0,0.0,0.0,0,1
930,0.0,0.0,0.0,0.0,0,1
930,0.0,0.0,0.0,0.0,0,0
931,0.0,0.0,0.0,0.0,1,1
973,0.0,0.0,0.0,0.0,1,1
984,0.0,0.0,0.0,0.0,0,1
984,0.0,0.0,0.0,0.0,0,1
996,0.0,0.0,0.0,0.0,0,1
1007,0.0,0.0,0.0,0.0,0,1
1028,0.0,0.0,0.0,0.0,0,1
1028,0.0,0.0,0.0,0.0,0,1
1034,0.0,0.0,0.0,0.0,0,1
1034,0.0,0.0,0.0,0.0,0,1
1035,0.0,0.0,0.0,0.0,0,0
1035,0.0,0.0,0.0,0.0,0,0
1046,0.0,0.0,0.0,0.0,0,0
1046,0.0,0.0,0.0,0.0,0,1
