id,BLOOM_pred_hindi,BLOOM_DYNABENCH_pred_hindi,LLAMA_pred_hindi,LLAMA_DYNABENCH_pred_hindi,BLOOMZ_FINETUNED_pred_hindi
367,0.0,0.0,0.0,0.0,0
380,0.0,0.0,0.0,0.0,1
380,0.0,0.0,0.0,0.0,0
388,0.0,0.0,0.0,0.0,0
388,0.0,0.0,0.0,0.0,0
405,0.0,0.0,0.0,0.0,1
405,0.0,0.0,0.0,0.0,1
411,0.0,0.0,0.0,0.0,1
411,0.0,0.0,0.0,0.0,1
411,0.0,0.0,0.0,0.0,1
413,0.0,0.0,0.0,0.0,1
428,0.0,0.0,0.0,0.0,1
428,0.0,0.0,0.0,0.0,0
429,0.0,0.0,0.0,0.0,1
429,0.0,0.0,0.0,0.0,0
430,0.0,0.0,0.0,0.0,1
439,0.0,0.0,0.0,0.0,1
445,0.0,0.0,0.0,0.0,0
458,0.0,0.0,0.0,0.0,0
458,0.0,0.0,0.0,0.0,1
475,0.0,0.0,0.0,0.0,0
482,0.0,0.0,0.0,0.0,1
497,0.0,0.0,0.0,0.0,0
499,0.0,0.0,0.0,0.0,1
506,0.0,0.0,0.0,0.0,0
506,0.0,0.0,0.0,0.0,1
519,0.0,0.0,0.0,0.0,0
541,0.0,0.0,0.0,0.0,0
541,0.0,0.0,0.0,0.0,0
551,0.0,0.0,0.0,0.0,1
561,0.0,0.0,0.0,0.0,1
570,0.0,0.0,0.0,0.0,0
581,0.0,0.0,0.0,0.0,1
585,0.0,0.0,0.0,0.0,1
589,0.0,0.0,0.0,0.0,1
589,0.0,0.0,0.0,0.0,1
593,0.0,0.0,0.0,0.0,1
593,0.0,0.0,0.0,0.0,0
595,0.0,0.0,0.0,0.0,1
595,0.0,0.0,0.0,0.0,0
595,0.0,0.0,0.0,0.0,0
614,0.0,0.0,0.0,0.0,1
614,0.0,0.0,0.0,0.0,1
631,0.0,0.0,0.0,0.0,1
643,0.0,0.0,0.0,0.0,1
643,0.0,0.0,0.0,0.0,0
650,0.0,0.0,0.0,0.0,1
652,0.0,0.0,0.0,0.0,1
652,0.0,0.0,0.0,0.0,0
656,0.0,0.0,0.0,0.0,0
661,0.0,0.0,0.0,0.0,1
675,0.0,0.0,0.0,0.0,1
675,0.0,0.0,0.0,0.0,1
696,0.0,0.0,0.0,0.0,1
696,0.0,0.0,0.0,0.0,1
696,0.0,0.0,0.0,0.0,0
707,0.0,0.0,0.0,0.0,1
707,0.0,0.0,0.0,0.0,0
712,0.0,0.0,0.0,0.0,1
714,0.0,0.0,0.0,0.0,1
734,0.0,0.0,0.0,0.0,0
734,0.0,0.0,0.0,0.0,0
752,0.0,0.0,0.0,0.0,0
755,0.0,0.0,0.0,0.0,0
782,0.0,0.0,0.0,0.0,1
819,0.0,0.0,0.0,0.0,1
825,0.0,0.0,0.0,0.0,1
877,0.0,0.0,0.0,0.0,1
901,0.0,0.0,0.0,0.0,1
916,0.0,0.0,0.0,0.0,0
922,0.0,0.0,0.0,0.0,1
922,0.0,0.0,0.0,0.0,0
931,0.0,0.0,0.0,0.0,0
931,0.0,0.0,0.0,0.0,0
945,0.0,0.0,0.0,0.0,0
980,0.0,0.0,0.0,0.0,0
980,0.0,0.0,0.0,0.0,1
992,0.0,0.0,0.0,0.0,0
992,0.0,0.0,0.0,0.0,0
992,0.0,0.0,0.0,0.0,1
1007,0.0,0.0,0.0,0.0,1
1035,0.0,0.0,0.0,0.0,1
1046,0.0,0.0,0.0,0.0,1
1069,0.0,0.0,0.0,0.0,1
